node,x,y,m1,m2
BS2,1967.83,48.8443,10,5
BS2,1967.83,48.8443,10,5
BS2,1221.05,-728.803,10,5
BS2,1221.05,-728.803,10,5
BS2,1221.05,-728.803,10,5
BS2,1270.7,-1724.45,10,5
BS2,1270.7,-1724.45,10,5
BS2,1270.7,-1724.45,10,5
BS2,213.076,-1824.59,10,5
BS2,213.076,-1824.59,10,5
BS2,213.076,-1824.59,10,5
BS2,-809.171,-1799.55,10,5
BS2,-809.171,-1799.55,10,5
BS2,-809.171,-1799.55,10,5
BS2,-1405.8,-943.096,10,5
BS2,-1405.8,-943.096,10,5
BS2,-1405.8,-943.096,10,5
BS2,-1849.02,152.797,10,5
BS2,-1849.02,152.797,10,5
BS2,-1849.02,152.797,10,5
BS2,-1528.76,1086.45,10,5
BS2,-1528.76,1086.45,10,5
BS2,-1528.76,1086.45,10,5
BS2,-1296.32,1864.84,10,5
BS2,-1296.32,1864.84,10,5
BS2,-1296.32,1864.84,10,5
BS2,196.692,1629.8,10,5
BS2,196.692,1629.8,10,5
BS2,196.692,1629.8,10,5
BS2,875.956,1888.1,10,5
BS2,875.956,1888.1,10,5
BS2,875.956,1888.1,10,5
BS2,1552.15,765.524,10,5
BS2,1552.15,765.524,10,5
BS2,1552.15,765.524,10,5
BS3,-8.03282,217.154,10,5
BS3,-8.03282,217.154,10,5
BS3,-8.03282,217.154,10,5
BS3,1173.29,-272.566,10,5
BS3,1173.29,-272.566,10,5
BS3,1173.29,-272.566,10,5
BS3,464.031,-1087.42,10,5
BS3,464.031,-1087.42,10,5
BS3,464.031,-1087.42,10,5
BS3,-165.719,-858.089,10,5
BS3,-165.719,-858.089,10,5
BS3,-165.719,-858.089,10,5
BS3,-1164.3,-242.351,10,5
BS3,-1164.3,-242.351,10,5
BS3,-1164.3,-242.351,10,5
BS3,-345.65,840.51,10,5
BS3,-345.65,840.51,10,5
BS3,-345.65,840.51,10,5
BS3,215.083,875.085,10,5
BS3,215.083,875.085,10,5
BS3,215.083,875.085,10,5
BS3,2026.13,-315.223,10,5
BS3,2026.13,-315.223,10,5
BS3,2026.13,-315.223,10,5
BS3,1656.49,-858.766,10,5
BS3,1656.49,-858.766,10,5
BS3,1656.49,-858.766,10,5
BS3,1062.59,-1981.44,10,5
BS3,1062.59,-1981.44,10,5
BS3,1062.59,-1981.44,10,5
BS3,-273.762,-1649.47,10,5
BS3,-273.762,-1649.47,10,5
BS3,-273.762,-1649.47,10,5
BS3,-1081.41,-2009.57,10,5
BS3,-1081.41,-2009.57,10,5
BS3,-1081.41,-2009.57,10,5
BS3,-1222.46,-1072.29,10,5
BS3,-1222.46,-1072.29,10,5
BS3,-1222.46,-1072.29,10,5
BS3,-1878.49,-5.96981,10,5
BS3,-1878.49,-5.96981,10,5
BS3,-1878.49,-5.96981,10,5
BS3,-1565.15,830.019,10,5
BS3,-1565.15,830.019,10,5
BS3,-1565.15,830.019,10,5
BS3,-1131.91,1995.84,10,5
BS3,-1131.91,1995.84,10,5
BS3,-1131.91,1995.84,10,5
BS3,38.3727,1518.67,10,5
BS3,38.3727,1518.67,10,5
BS3,38.3727,1518.67,10,5
BS3,1097.52,1994.56,10,5
BS3,1097.52,1994.56,10,5
BS3,1097.52,1994.56,10,5
BS3,1613.18,1002.52,10,5
BS3,1613.18,1002.52,10,5
BS3,1613.18,1002.52,10,5
BS4,37.4695,176.059,10,5
BS4,37.4695,176.059,10,5
BS4,37.4695,176.059,10,5
BS4,1079.19,-161.29,10,5
BS4,1079.19,-161.29,10,5
BS4,1079.19,-161.29,10,5
BS4,507.277,-591.333,10,5
BS4,507.277,-591.333,10,5
BS4,507.277,-591.333,10,5
BS4,-286.961,-948.121,10,5
BS4,-286.961,-948.121,10,5
BS4,-286.961,-948.121,10,5
BS4,-1050.37,89.673,10,5
BS4,-1050.37,89.673,10,5
BS4,-1050.37,89.673,10,5
BS4,-334.736,1090.72,10,5
BS4,-334.736,1090.72,10,5
BS4,-334.736,1090.72,10,5
BS4,377.298,960.739,10,5
BS4,377.298,960.739,10,5
BS4,377.298,960.739,10,5
BS4,2191.21,-236.493,10,5
BS4,2191.21,-236.493,10,5
BS4,2191.21,-236.493,10,5
BS4,1422.18,-692.116,10,5
BS4,1422.18,-692.116,10,5
BS4,1422.18,-692.116,10,5
BS4,1216.03,-1713.05,10,5
BS4,1216.03,-1713.05,10,5
BS4,1216.03,-1713.05,10,5
BS4,-286.732,-1806,10,5
BS4,-286.732,-1806,10,5
BS4,-286.732,-1806,10,5
BS4,-776.114,-1924.49,10,5
BS4,-776.114,-1924.49,10,5
BS4,-776.114,-1924.49,10,5
BS4,-1592.95,-712.555,10,5
BS4,-1592.95,-712.555,10,5
BS4,-1592.95,-712.555,10,5
BS4,-1792.76,39.6394,10,5
BS4,-1792.76,39.6394,10,5
BS4,-1792.76,39.6394,10,5
BS4,-1349.99,769.406,10,5
BS4,-1349.99,769.406,10,5
BS4,-1349.99,769.406,10,5
BS4,-1304.03,1718.89,10,5
BS4,-1304.03,1718.89,10,5
BS4,-1304.03,1718.89,10,5
BS4,95.9788,1427.67,10,5
BS4,95.9788,1427.67,10,5
BS4,95.9788,1427.67,10,5
BS4,1287.19,1594.62,10,5
BS4,1287.19,1594.62,10,5
BS4,1287.19,1594.62,10,5
BS4,1523.6,895.887,10,5
BS4,1523.6,895.887,10,5
BS4,1523.6,895.887,10,5
UE1,405.452,-356.263,10,5
UE1,386.744,-253.174,10,5
UE1,243.8,151.418,10,5
UE1,-106.286,542.957,10,5
UE1,-286.043,-302.088,10,5
UE1,-121.197,-393.938,10,5
UE1,363.104,-154.454,10,5
UE1,117.949,370.023,10,5
UE1,-183.525,404.127,10,5
UE1,480.82,-132.313,10,5
UE1,-223.304,429.428,10,5
UE1,-270.059,187.002,10,5
UE1,-108.079,-222.642,10,5
UE1,410.043,-377.898,10,5
UE1,-163.802,-76.3835,10,5
UE1,123.824,368.854,10,5
UE1,185.362,-31.6063,10,5
UE1,117.661,81.5831,10,5
UE1,-214.744,281.93,10,5
UE1,567.98,-68.177,10,5
UE1,380.783,-287.326,10,5
UE1,-526.174,22.5327,10,5
UE1,279.726,390.937,10,5
UE1,-88.9736,385.002,10,5
UE1,-63.4848,277.501,10,5
UE1,95.7384,441.162,10,5
UE1,429.307,-148.248,10,5
UE1,420.059,-177.995,10,5
UE1,172.329,-492.482,10,5
UE1,-328.376,-127.897,10,5
UE1,433.577,-253.428,10,5
UE1,255.246,-480.418,10,5
UE1,363.601,-418.919,10,5
UE1,256.112,-82.3087,10,5
UE1,-176.983,528.015,10,5
UE1,78.9824,244.702,10,5
UE1,-360.468,-317.724,10,5
UE1,495.057,99.9371,10,5
UE1,-247.461,211.15,10,5
UE1,44.162,471.417,10,5
UE1,-359.194,-145.504,10,5
UE1,-90.9573,401.207,10,5
UE1,245.294,116.786,10,5
UE1,360.61,401.295,10,5
UE1,465.561,117.644,10,5
UE1,9.52918,563.849,10,5
UE1,-150.373,48.685,10,5
UE1,180.277,-268.362,10,5
UE1,514.352,-2.40898,10,5
UE1,-310.319,-61.8332,10,5
UE1,-73.6756,-488.003,10,5
UE1,-337.003,1.43781,10,5
UE1,-374.772,190.628,10,5
UE1,406.419,324.638,10,5
UE1,196.515,-274.551,10,5
UE1,-368.1,32.3351,10,5
UE1,136.885,-487.985,10,5
UE1,467.542,-262.939,10,5
UE1,131.401,-5.59277,10,5
UE1,-7.49827,-103.946,10,5
UE1,-19.5878,-572.568,10,5
UE1,253.872,-19.4494,10,5
UE1,488.251,196.467,10,5
UE1,-141.293,-7.69426,10,5
UE1,-80.7213,-82.3912,10,5
UE1,-219.892,262.866,10,5
UE1,72.318,-530.238,10,5
UE1,-88.32,-240.17,10,5
UE1,-400.444,326.163,10,5
UE1,282.232,16.6355,10,5
UE1,251.756,318.685,10,5
UE1,-327.707,-452.328,10,5
UE1,-46.2868,432.651,10,5
UE1,93.3406,-279.129,10,5
UE1,-307.901,-291.454,10,5
UE1,-92.6753,336.146,10,5
UE1,-301.68,-49.2387,10,5
UE1,-410.989,-162.469,10,5
UE1,114.82,98.2164,10,5
UE1,-299.667,-395.37,10,5
UE1,39.1741,31.8047,10,5
UE1,453.302,295.857,10,5
UE1,345.071,-377.612,10,5
UE1,260.15,136.265,10,5
UE1,-144.616,-88.1611,10,5
UE1,-493.225,2.6696,10,5
UE1,-194.324,-109.37,10,5
UE1,-262.372,-462.242,10,5
UE1,-78.8566,-387.286,10,5
UE1,260.408,211.988,10,5
UE1,365.04,20.8838,10,5
UE1,-120.638,-404.366,10,5
UE1,-122.449,-269.858,10,5
UE1,371.698,355.614,10,5
UE1,-250.145,439.549,10,5
UE1,-374.373,-81.4027,10,5
UE1,73.9905,-450.527,10,5
UE1,-199.708,417.658,10,5
UE1,-309.753,191.012,10,5
UE1,472.5,-330.76,10,5
UE1,-363.949,36.8439,10,5
UE1,-18.5991,-146.531,10,5
UE1,-345.163,-115.248,10,5
UE1,256.857,-153.912,10,5
UE1,58.4399,-64.6837,10,5
UE1,-420.444,-338.945,10,5
UE1,-286.525,147.391,10,5
UE1,-159.606,100.061,10,5
UE1,-374.373,-192.566,10,5
UE1,447.655,-319.201,10,5
UE1,-119.066,361.677,10,5
UE1,-92.8704,129.815,10,5
UE1,437.303,178.238,10,5
UE1,-73.7521,-390.196,10,5
UE1,414.982,187.689,10,5
UE1,-422.289,72.7792,10,5
UE1,256.607,40.6465,10,5
UE1,-324.761,-293.929,10,5
UE1,-339.455,-248.209,10,5
UE1,222.984,-325.417,10,5
UE1,-366.467,-129.295,10,5
UE1,-316.186,475.135,10,5
UE1,48.5251,-498.781,10,5
UE1,290.087,171.446,10,5
UE1,-130.918,557.899,10,5
UE1,2.77554,442.178,10,5
UE1,-393.435,210.345,10,5
UE1,-206.772,-343.805,10,5
UE1,-39.5889,355.398,10,5
UE1,322.032,-88.9502,10,5
UE1,377.958,17.0097,10,5
UE1,78.387,-67.5466,10,5
UE1,-275.292,-303.265,10,5
UE1,-216.4,-175.503,10,5
UE1,379.425,84.8937,10,5
UE1,-135.273,-421.665,10,5
UE1,101.276,-66.3826,10,5
UE1,-431.589,-194.482,10,5
UE1,139.466,-444.669,10,5
UE1,167.614,14.9293,10,5
UE1,-190.517,-226.518,10,5
UE1,-66.56,-125.433,10,5
UE1,214.824,-256.464,10,5
UE1,-199.076,-56.512,10,5
UE1,-75.8577,-401.356,10,5
UE1,-479.506,110.707,10,5
UE1,310.15,-143.393,10,5
UE1,26.0834,-432.45,10,5
UE1,213.786,-277.176,10,5
UE1,158.183,-520.721,10,5
UE1,178.136,-365.937,10,5
UE1,-488.464,66.0403,10,5
UE1,-119.546,-31.9579,10,5
UE1,-275.668,192.834,10,5
UE1,-118.852,-353.132,10,5
UE1,-298.465,152.076,10,5
UE1,-76.5219,-162.962,10,5
UE1,-339.577,254.631,10,5
UE1,-511.783,227.092,10,5
UE1,-109.345,-198.114,10,5
UE1,-197.42,74.2435,10,5
UE1,259.029,-239.503,10,5
UE1,-459.652,45.4603,10,5
UE1,310.394,-128.361,10,5
UE1,493.75,27.5071,10,5
UE1,70.9309,521.171,10,5
UE1,54.5762,482.11,10,5
UE1,-471.022,-188.953,10,5
UE1,10.9478,-566.286,10,5
UE1,293.071,253.763,10,5
UE1,-309.698,288.783,10,5
UE1,33.9991,-138.019,10,5
UE1,-163.485,-187.645,10,5
UE1,-122.018,-90.7693,10,5
UE1,209.019,216.126,10,5
UE1,72.8478,429.65,10,5
UE1,-154.369,104.696,10,5
UE1,511.115,-186.784,10,5
UE1,-15.9379,-541.602,10,5
UE1,68.0001,496.45,10,5
UE1,-290.317,-260.384,10,5
UE1,-457.232,-270.927,10,5
UE1,113.493,188.886,10,5
UE1,-397.866,-383.389,10,5
UE1,382.461,314.065,10,5
UE1,-273.457,297.237,10,5
UE1,-34.6221,225.851,10,5
UE1,-522.803,-172.307,10,5
UE1,-124.11,188.033,10,5
UE1,392.543,-50.568,10,5
UE1,-230.814,119.453,10,5
UE1,508.128,133.61,10,5
UE1,-202.027,535.886,10,5
UE1,-25.9611,-129.885,10,5
UE1,376.549,-416.502,10,5
UE1,140.314,-375.809,10,5
UE1,-297.181,205.412,10,5
UE1,-213.636,378.604,10,5
UE1,-547.651,-132.784,10,5
UE1,-462.046,44.849,10,5
UE1,1502.52,185.755,10,5
UE1,1288.95,192.913,10,5
UE1,1302.96,-422.148,10,5
UE1,576.941,244.968,10,5
UE1,1014.89,-272.176,10,5
UE1,1071.91,221.227,10,5
UE1,684.294,-278.614,10,5
UE1,971.695,-224.065,10,5
UE1,732.957,24.941,10,5
UE1,1074.41,-229.115,10,5
UE1,1507.83,231.574,10,5
UE1,1103.31,122.867,10,5
UE1,954.756,-44.9288,10,5
UE1,642.522,166.723,10,5
UE1,1192.13,-217.412,10,5
UE1,931.148,-549.744,10,5
UE1,1386.39,352.852,10,5
UE1,874.212,553.39,10,5
UE1,682.023,-364.597,10,5
UE1,851.371,-331.107,10,5
UE1,1482.36,-246.128,10,5
UE1,603.015,-150.884,10,5
UE1,733.678,159.395,10,5
UE1,808.636,-512.809,10,5
UE1,594.031,-8.61593,10,5
UE1,1389.56,194.901,10,5
UE1,758.048,111.075,10,5
UE1,917.895,-110.955,10,5
UE1,1025.84,160.663,10,5
UE1,828.566,-24.7223,10,5
UE1,854.363,251.559,10,5
UE1,1385.85,27.2223,10,5
UE1,1277.43,146.358,10,5
UE1,575.726,240.726,10,5
UE1,1182.6,-1.90019,10,5
UE1,1430.54,348.562,10,5
UE1,1467.76,-48.6445,10,5
UE1,645.054,82.5377,10,5
UE1,1218.61,-64.5517,10,5
UE1,886.523,373.746,10,5
UE1,794.045,-284.885,10,5
UE1,1161.77,30.1473,10,5
UE1,586.348,-235.119,10,5
UE1,1332.47,396.871,10,5
UE1,1023.09,-468.776,10,5
UE1,1137.66,-106.116,10,5
UE1,1472.32,-279.805,10,5
UE1,444.684,-150.412,10,5
UE1,1161.79,541.476,10,5
UE1,927.34,-249.104,10,5
UE1,1482.28,193.893,10,5
UE1,1085.07,86.0365,10,5
UE1,560.251,56.8842,10,5
UE1,644.388,135.863,10,5
UE1,986.236,-495.674,10,5
UE1,1281.79,-228.493,10,5
UE1,1428.48,349.958,10,5
UE1,524.07,65.0612,10,5
UE1,631.562,-264.972,10,5
UE1,654.45,5.14269,10,5
UE1,933.867,355.957,10,5
UE1,758.361,80.525,10,5
UE1,820.204,545.688,10,5
UE1,1159.65,377.013,10,5
UE1,1518.18,-165.961,10,5
UE1,982.508,-59.5128,10,5
UE1,851.407,-504.876,10,5
UE1,1231.9,85.0196,10,5
UE1,642.361,195.494,10,5
UE1,826.009,-158.842,10,5
UE1,1035.3,410.405,10,5
UE1,686.213,-129.583,10,5
UE1,893.688,49.1301,10,5
UE1,1096.88,22.5941,10,5
UE1,769.028,-353.106,10,5
UE1,574.646,362.71,10,5
UE1,1472.93,-232.647,10,5
UE1,1186.74,201.827,10,5
UE1,1150.47,-287.54,10,5
UE1,941.68,-505.572,10,5
UE1,1098.63,368.737,10,5
UE1,1133.86,-534.603,10,5
UE1,934.962,526.481,10,5
UE1,1392.42,274.05,10,5
UE1,731.188,407.567,10,5
UE1,1269.89,-345.674,10,5
UE1,1058.32,368.417,10,5
UE1,1413.86,-215.453,10,5
UE1,452.763,144.294,10,5
UE1,921.664,-181.363,10,5
UE1,843.493,6.07018,10,5
UE1,1352.54,124.4,10,5
UE1,1208.19,-133.866,10,5
UE1,705.693,-398.606,10,5
UE1,643.295,-3.86834,10,5
UE1,515.101,-42.7571,10,5
UE1,1132.57,-288.467,10,5
UE1,876.404,-119.388,10,5
UE1,1291.38,392.798,10,5
UE1,1069.77,-398.084,10,5
UE1,578.431,183.689,10,5
UE1,1423.76,198.419,10,5
UE1,1544.38,183.457,10,5
UE1,836.246,378.663,10,5
UE1,1436.87,-132.325,10,5
UE1,851.607,51.045,10,5
UE1,774.834,-488.5,10,5
UE1,1533.21,-58.3426,10,5
UE1,512.95,-52.5629,10,5
UE1,630.196,403.34,10,5
UE1,1016.55,160.063,10,5
UE1,911.984,-413.384,10,5
UE1,840.916,-492.875,10,5
UE1,849.705,-342.71,10,5
UE1,789.813,-120.282,10,5
UE1,1163.33,-212.576,10,5
UE1,1012.47,413.393,10,5
UE1,967.304,279.818,10,5
UE1,1240.61,-448.41,10,5
UE1,1188.06,490.253,10,5
UE1,615.925,256.081,10,5
UE1,1139.04,-98.4605,10,5
UE1,457.061,-23.091,10,5
UE1,1084.87,-25.4529,10,5
UE1,739.313,-198.868,10,5
UE1,1464.92,-248.756,10,5
UE1,626.702,271.624,10,5
UE1,871.737,130.723,10,5
UE1,869.465,47.8609,10,5
UE1,905.762,-12.0081,10,5
UE1,1037.22,351.245,10,5
UE1,1016.33,398.508,10,5
UE1,1315.12,-265.618,10,5
UE1,896.173,-477.644,10,5
UE1,862.187,532.323,10,5
UE1,537.921,-137.59,10,5
UE1,629.186,-110.686,10,5
UE1,1027.65,-129.808,10,5
UE1,751.479,429.285,10,5
UE1,1493.99,259.584,10,5
UE1,1535.52,212.314,10,5
UE1,1058.45,-386.754,10,5
UE1,855.648,-168.403,10,5
UE1,846.33,-60.6129,10,5
UE1,1045.2,156.978,10,5
UE1,1296.34,239.85,10,5
UE1,670.807,95.0098,10,5
UE1,1291.22,-171.204,10,5
UE1,1297.73,-348.269,10,5
UE1,1208.53,84.5499,10,5
UE1,563.408,-110.073,10,5
UE1,1098,-137.008,10,5
UE1,1430.8,157.329,10,5
UE1,1231.15,275.284,10,5
UE1,814.105,193.488,10,5
UE1,824.643,336.376,10,5
UE1,1039.96,178.238,10,5
UE1,1412.51,-336.06,10,5
UE1,1005.23,387.594,10,5
UE1,1353.86,-157.933,10,5
UE1,884.246,-23.2112,10,5
UE1,1441.19,-365.165,10,5
UE1,594.611,323.104,10,5
UE1,857.641,254.921,10,5
UE1,665.785,138.557,10,5
UE1,520.988,310.37,10,5
UE1,1292.27,-1.56068,10,5
UE1,1124.22,51.5421,10,5
UE1,1199.84,-163.409,10,5
UE1,721.873,102.272,10,5
UE1,561.192,253.724,10,5
UE1,842.103,-430.45,10,5
UE1,1302.46,-321.069,10,5
UE1,802.313,21.4602,10,5
UE1,1361.57,85.5372,10,5
UE1,606.144,-186.208,10,5
UE1,621.735,103.428,10,5
UE1,499.278,-181.605,10,5
UE1,944.5,540.398,10,5
UE1,1380.35,298.414,10,5
UE1,926.724,407.308,10,5
UE1,870.27,-275.02,10,5
UE1,1067.44,-492.496,10,5
UE1,767.751,408.771,10,5
UE1,1475.78,-176.994,10,5
UE1,1308.47,-155.743,10,5
UE1,563.801,-129.194,10,5
UE1,1371.02,-21.8131,10,5
UE1,1108.82,381.613,10,5
UE1,721.834,-60.7963,10,5
UE1,1142.8,-119.525,10,5
UE1,1126.5,-315.158,10,5
UE1,678.948,-139.071,10,5
UE1,1170.96,497.304,10,5
UE1,994.053,317.5,10,5
UE1,588.969,-90.9847,10,5
UE1,1108.7,-244.097,10,5
UE1,1157.16,-413.714,10,5
UE1,1207.57,-57.1905,10,5
UE1,992.804,547.571,10,5
UE1,363.18,-880.239,10,5
UE1,660.251,-905.684,10,5
UE1,296.536,-758.895,10,5
UE1,905.757,-1110.61,10,5
UE1,124.917,-771.688,10,5
UE1,581.803,-572.573,10,5
UE1,463.64,-924.871,10,5
UE1,804.252,-1202.87,10,5
UE1,611.948,-701.36,10,5
UE1,347.937,-885.859,10,5
UE1,353.02,-376.854,10,5
UE1,326.377,-901.029,10,5
UE1,861.325,-789.313,10,5
UE1,911.242,-577.617,10,5
UE1,648.626,-1168.69,10,5
UE1,266.714,-622.904,10,5
UE1,231.202,-668.775,10,5
UE1,37.871,-619.44,10,5
UE1,165.947,-846.272,10,5
UE1,-63.2049,-859.097,10,5
UE1,602.206,-1338.89,10,5
UE1,548.543,-482.788,10,5
UE1,465.156,-1041.54,10,5
UE1,991.074,-643.206,10,5
UE1,595.06,-433.129,10,5
UE1,887.299,-1007.5,10,5
UE1,225.921,-576.317,10,5
UE1,211.222,-1091.75,10,5
UE1,865.698,-1181.86,10,5
UE1,756.484,-452.974,10,5
UE1,903.714,-746.075,10,5
UE1,866.509,-748.778,10,5
UE1,763.281,-1161.07,10,5
UE1,461.778,-522.957,10,5
UE1,675.981,-1338.63,10,5
UE1,340.188,-451.704,10,5
UE1,83.619,-787.262,10,5
UE1,743.86,-806.352,10,5
UE1,375.785,-1006.04,10,5
UE1,990.259,-659.409,10,5
UE1,482.646,-912.155,10,5
UE1,404.342,-753.592,10,5
UE1,-65.0846,-807.47,10,5
UE1,155.39,-796.689,10,5
UE1,281.992,-1268.43,10,5
UE1,928.533,-631.481,10,5
UE1,607.051,-688.684,10,5
UE1,551.333,-781.802,10,5
UE1,193.249,-1087.1,10,5
UE1,222.535,-623.639,10,5
UE1,661.775,-412.844,10,5
UE1,970.378,-873.995,10,5
UE1,511.386,-758.264,10,5
UE1,829.864,-1289.6,10,5
UE1,851.143,-438.536,10,5
UE1,394.908,-1382.13,10,5
UE1,645.97,-938.893,10,5
UE1,797.902,-1083.36,10,5
UE1,833.588,-760.202,10,5
UE1,591.293,-1346.38,10,5
UE1,1034.57,-871.636,10,5
UE1,286.028,-775.722,10,5
UE1,944.867,-899.143,10,5
UE1,661.542,-453.863,10,5
UE1,930.789,-788.212,10,5
UE1,772.276,-875.683,10,5
UE1,425.771,-295.823,10,5
UE1,813.741,-1128,10,5
UE1,990.837,-784.108,10,5
UE1,337.492,-694.808,10,5
UE1,410.213,-1012.66,10,5
UE1,942.515,-862.183,10,5
UE1,764.862,-386.361,10,5
UE1,769.182,-867.622,10,5
UE1,439.153,-359.94,10,5
UE1,775.529,-978.844,10,5
UE1,271.452,-1135.02,10,5
UE1,88.4539,-667.105,10,5
UE1,947.227,-941.206,10,5
UE1,557.125,-617.255,10,5
UE1,571.305,-601.3,10,5
UE1,248.261,-810.205,10,5
UE1,927.422,-491.906,10,5
UE1,582.7,-337.288,10,5
UE1,306.728,-560.242,10,5
UE1,125.383,-917.093,10,5
UE1,349.447,-745.769,10,5
UE1,244.822,-1046.67,10,5
UE1,902.253,-534.169,10,5
UE1,-2.55044,-1074.08,10,5
UE1,514.453,-1390.9,10,5
UE1,295.216,-899.835,10,5
UE1,488.006,-640.369,10,5
UE1,931.928,-541.203,10,5
UE1,375.353,-727.049,10,5
UE1,892.858,-674.135,10,5
UE1,298.024,-493.574,10,5
UE1,555.901,-1245.55,10,5
UE1,-76.4348,-888.735,10,5
UE1,329.098,-362.905,10,5
UE1,95.5598,-532.367,10,5
UE1,420.01,-361.122,10,5
UE1,994.175,-1080.49,10,5
UE1,607.269,-809.081,10,5
UE1,329.309,-1294.32,10,5
UE1,850.34,-1023.47,10,5
UE1,115.967,-790.563,10,5
UE1,58.9339,-1084.51,10,5
UE1,137.556,-1171.88,10,5
UE1,47.9466,-1214.23,10,5
UE1,588.17,-1331.84,10,5
UE1,319.537,-927.224,10,5
UE1,572.831,-544.324,10,5
UE1,35.9846,-1023.46,10,5
UE1,259.134,-389.508,10,5
UE1,54.3401,-1064.58,10,5
UE1,268.893,-1341.95,10,5
UE1,47.9849,-859.641,10,5
UE1,404.595,-1292.5,10,5
UE1,297.644,-1172.09,10,5
UE1,598.2,-433.424,10,5
UE1,778.206,-1252.83,10,5
UE1,857.136,-751.797,10,5
UE1,101.818,-617.115,10,5
UE1,558.784,-823.43,10,5
UE1,152.358,-1279.96,10,5
UE1,410.469,-1101.73,10,5
UE1,1047.39,-909.575,10,5
UE1,78.4228,-911.841,10,5
UE1,131.641,-1246.08,10,5
UE1,299.751,-708.001,10,5
UE1,354.551,-919.469,10,5
UE1,630.992,-834.925,10,5
UE1,300.886,-1324.51,10,5
UE1,267.695,-1110.69,10,5
UE1,793.513,-424.407,10,5
UE1,539.325,-883.514,10,5
UE1,-63.4324,-963.224,10,5
UE1,-3.54906,-622.147,10,5
UE1,236.63,-1191.35,10,5
UE1,792.988,-952.05,10,5
UE1,115.745,-604.825,10,5
UE1,143.699,-803.201,10,5
UE1,-41.9547,-1055.72,10,5
UE1,723.202,-967.668,10,5
UE1,661.498,-1152.22,10,5
UE1,243.821,-612.801,10,5
UE1,203.247,-643.18,10,5
UE1,344.42,-807.426,10,5
UE1,579.624,-732.365,10,5
UE1,208.9,-716.773,10,5
UE1,797.642,-1038.8,10,5
UE1,322.859,-524.341,10,5
UE1,236.468,-439.019,10,5
UE1,78.3616,-479.844,10,5
UE1,434.528,-537.263,10,5
UE1,467.233,-388.612,10,5
UE1,991.021,-917.483,10,5
UE1,872.044,-665.196,10,5
UE1,489.827,-923.261,10,5
UE1,414.894,-1286.86,10,5
UE1,408.599,-713.422,10,5
UE1,962.829,-1037.8,10,5
UE1,141.362,-880.785,10,5
UE1,690.094,-1297.99,10,5
UE1,226.003,-792.999,10,5
UE1,852.445,-885.18,10,5
UE1,233.951,-1052.59,10,5
UE1,732.38,-1372.8,10,5
UE1,732.289,-753.079,10,5
UE1,795.296,-1038.94,10,5
UE1,263.828,-921.086,10,5
UE1,903.296,-764.311,10,5
UE1,666.516,-971.958,10,5
UE1,929.484,-704.513,10,5
