col1,node,x,y,m1,m2
225,UE1,756.422,228.744,10,5
226,UE1,876.47,227.279,10,5
227,UE1,449.094,-329.648,10,5
228,UE1,726.769,-588.895,10,5
229,UE1,813.019,-439.264,10,5
230,UE1,879.323,-205.607,10,5
231,UE1,453.391,-269.304,10,5
232,UE1,608.035,-446.39,10,5
233,UE1,588.53,-211.597,10,5
234,UE1,628.279,148.096,10,5
235,UE1,1034.76,-564.816,10,5
236,UE1,954.866,-100.546,10,5
237,UE1,1284.36,-13.8677,10,5
238,UE1,1053.17,188.676,10,5
239,UE1,787.148,-533.412,10,5
240,UE1,940.677,-174.593,10,5
241,UE1,815.916,65.6114,10,5
242,UE1,643.529,-558.417,10,5
243,UE1,1025.35,90.3654,10,5
244,UE1,670.231,-581.822,10,5
245,UE1,743.153,-404.618,10,5
246,UE1,1064.78,-317.552,10,5
247,UE1,1098.35,121.221,10,5
248,UE1,1098.53,-536.304,10,5
249,UE1,1083.04,-298.662,10,5
250,UE1,571.7,83.6433,10,5
251,UE1,1154.31,-446.234,10,5
252,UE1,869.432,-656.525,10,5
253,UE1,953.853,303.729,10,5
254,UE1,444.846,-328.296,10,5
255,UE1,531.454,-161.801,10,5
256,UE1,1317.71,-341.726,10,5
257,UE1,1054.09,-529.495,10,5
258,UE1,628.25,-591.265,10,5
259,UE1,1164.92,-286.584,10,5
260,UE1,1173.09,-447.411,10,5
261,UE1,620.502,-506.647,10,5
262,UE1,973.801,-614.974,10,5
263,UE1,871.708,212.595,10,5
264,UE1,702.083,-137.29,10,5
265,UE1,1034.02,-621.043,10,5
266,UE1,1187.48,-466.608,10,5
267,UE1,569.414,29.5495,10,5
268,UE1,573.34,-404.624,10,5
269,UE1,715.946,-221.058,10,5
270,UE1,823.081,-218.103,10,5
271,UE1,793.639,-517.789,10,5
272,UE1,1080.9,-486.433,10,5
273,UE1,1168.78,52.6498,10,5
274,UE1,793.018,-182.015,10,5
275,UE1,1024.9,-459.959,10,5
276,UE1,684.806,-430.723,10,5
277,UE1,105.231,-998.285,10,5
278,UE1,218.443,-962.764,10,5
279,UE1,14.792,-726.142,10,5
280,UE1,635.628,-747.712,10,5
281,UE1,263.668,-1095.78,10,5
282,UE1,548.697,-565.909,10,5
283,UE1,180.156,-1147.62,10,5
284,UE1,482.79,-1136.04,10,5
285,UE1,81.3421,-623.229,10,5
286,UE1,974.219,-939.593,10,5
287,UE1,861.326,-1056.27,10,5
288,UE1,324.917,-479.887,10,5
289,UE1,575.131,-457.803,10,5
290,UE1,833.099,-902.712,10,5
291,UE1,876.015,-1123.63,10,5
292,UE1,645.341,-487.342,10,5
293,UE1,591.173,-1226.72,10,5
294,UE1,718.232,-939.777,10,5
295,UE1,544.322,-1286.34,10,5
296,UE1,352.535,-520.708,10,5
297,UE1,163.062,-935.612,10,5
298,UE1,351.291,-948.603,10,5
299,UE1,211.373,-755.436,10,5
300,UE1,236.709,-1190.85,10,5
301,UE1,603.745,-419.265,10,5
302,UE1,618.438,-920.819,10,5
303,UE1,352.263,-637.708,10,5
304,UE1,275.532,-1103.25,10,5
305,UE1,336.619,-1142.58,10,5
306,UE1,857.683,-661.502,10,5
307,UE1,281.674,-892.697,10,5
308,UE1,799.667,-762.097,10,5
309,UE1,988.308,-769.471,10,5
310,UE1,155.759,-1058.03,10,5
311,UE1,875.245,-1111.25,10,5
312,UE1,664.09,-500.54,10,5
313,UE1,63.992,-762.485,10,5
314,UE1,192.998,-1173.48,10,5
315,UE1,660.168,-572.726,10,5
316,UE1,731.905,-1000.85,10,5
317,UE1,857.396,-1052.22,10,5
318,UE1,250.316,-757.292,10,5
319,UE1,673.683,-854.39,10,5
320,UE1,770.834,-1091.81,10,5
321,UE1,414.504,-1268.33,10,5
322,UE1,615.476,-553.672,10,5
323,UE1,620.565,-601.415,10,5
324,UE1,361.173,-946.322,10,5
325,UE1,675.42,-626.439,10,5
326,UE1,564.178,-816.125,10,5
327,UE1,600.589,-650.138,10,5
328,UE1,117.397,-701.249,10,5
329,UE1,645.333,-877.493,10,5
330,UE1,408.494,-884.198,10,5
331,UE1,231.891,-578.745,10,5
332,UE1,259.023,-691.812,10,5
333,UE1,526.339,-319.588,10,5
334,UE1,308.791,-885.034,10,5
335,UE1,829.332,-725.748,10,5
336,UE1,678.154,-1196.32,10,5
337,UE1,198.984,-404.851,10,5
338,UE1,861.281,-716.454,10,5
339,UE1,631.934,-409.266,10,5
340,UE1,419.743,-1068.92,10,5
341,UE1,817.302,-1054.43,10,5
342,UE1,447.658,-702.858,10,5
343,UE1,555.485,-1242.53,10,5
344,UE1,377.782,-1188.49,10,5
345,UE1,739.077,-955.249,10,5
346,UE1,512.795,-1069.74,10,5
347,UE1,587.777,-999.307,10,5
348,UE1,411.387,-859.465,10,5
349,UE1,667.892,-678.84,10,5
350,UE1,515.326,-612.47,10,5
351,UE1,406.472,-860.839,10,5
352,UE1,882.284,-1107.81,10,5
353,UE1,959.997,-631.036,10,5
354,UE1,259.861,-747.873,10,5
355,UE1,333.041,-903.66,10,5
356,UE1,211.052,-971.744,10,5
357,UE1,701.159,-1237.78,10,5
358,UE1,132.303,-860.138,10,5
359,UE1,477.913,-1032.16,10,5
360,UE1,473.152,-400.439,10,5
361,UE1,445.873,-812.18,10,5
362,UE1,776.441,-919.807,10,5
363,UE1,607.831,-449.29,10,5
364,UE1,283.35,-635.36,10,5
365,UE1,337.331,-1160.13,10,5
366,UE1,265.469,-706.463,10,5
367,UE1,424.908,-1072.95,10,5
368,UE1,604.852,-371.968,10,5
369,UE1,487.484,-383.996,10,5
370,UE1,965.825,-750.211,10,5
371,UE1,741.061,-1106.9,10,5
372,UE1,331.127,-428.731,10,5
373,UE1,54.6367,-874.105,10,5
374,UE1,508.21,-543.758,10,5
375,UE1,829.846,-637.602,10,5
376,UE1,809.494,-1046.42,10,5
377,UE1,-448.128,-578.196,10,5
378,UE1,-173.604,-588.109,10,5
379,UE1,-634.463,-193.632,10,5
380,UE1,-370.502,-921.366,10,5
381,UE1,-659.406,-570.85,10,5
382,UE1,-396.439,-275.149,10,5
383,UE1,-430.126,-647.467,10,5
384,UE1,-309.019,-474.083,10,5
385,UE1,-616.433,-978.681,10,5
386,UE1,-113.258,-329.133,10,5
387,UE1,-385.332,-749.983,10,5
388,UE1,-952.595,-533.732,10,5
389,UE1,-515.261,-640.39,10,5
390,UE1,-900.244,-802.668,10,5
391,UE1,-541.369,-1079.12,10,5
392,UE1,-157.646,-346.589,10,5
393,UE1,-372.101,-651.84,10,5
394,UE1,-560.552,-357.624,10,5
395,UE1,-465.932,-742.651,10,5
396,UE1,-527.853,-862.439,10,5
397,UE1,-298.039,-170.205,10,5
398,UE1,-511.843,-754.345,10,5
399,UE1,-65.9857,-653.676,10,5
400,UE1,-748.775,-250.111,10,5
401,UE1,-839.765,-510.314,10,5
402,UE1,-683.846,-833.644,10,5
403,UE1,-667.951,-705.644,10,5
404,UE1,-254.247,-449.008,10,5
405,UE1,-257.608,-291.293,10,5
406,UE1,-169.422,-290.134,10,5
407,UE1,-721.918,-712.933,10,5
408,UE1,-700.964,-916.023,10,5
409,UE1,-707.834,-150.422,10,5
410,UE1,-502.504,-772.802,10,5
411,UE1,-173.97,-513.805,10,5
412,UE1,-707.907,-463.242,10,5
413,UE1,-713.755,-540.581,10,5
414,UE1,-640.289,-291.745,10,5
415,UE1,-119.633,-585.478,10,5
416,UE1,-283.998,-357.102,10,5
417,UE1,-141.144,-376.367,10,5
418,UE1,-429.83,-1002.47,10,5
419,UE1,-128.957,-848.17,10,5
420,UE1,-422.15,-557.567,10,5
421,UE1,-729.843,-634.865,10,5
422,UE1,-373.679,-671.695,10,5
423,UE1,-816.793,-349.425,10,5
424,UE1,-792.372,-918.965,10,5
425,UE1,-831.55,-677.391,10,5
426,UE1,-355.416,-940.591,10,5
427,UE1,-315.033,-710.647,10,5
428,UE1,-447.789,-895.848,10,5
429,UE1,-637.509,-493.727,10,5
430,UE1,-411.612,-890.009,10,5
431,UE1,-530.712,-1082.43,10,5
432,UE1,-256.151,-969.311,10,5
433,UE1,-610.763,-987.828,10,5
434,UE1,-915.591,-639.242,10,5
435,UE1,-902.8,-604.978,10,5
436,UE1,-562.927,-674.937,10,5
437,UE1,-507.983,-986.173,10,5
438,UE1,-400.611,-453.836,10,5
439,UE1,-375.453,-183.612,10,5
440,UE1,-283.055,-954.936,10,5
441,UE1,-358.013,-225.556,10,5
442,UE1,-585.078,-449.335,10,5
443,UE1,-400.272,-702.352,10,5
444,UE1,-780.311,-566.296,10,5
445,UE1,-439.122,-344.305,10,5
446,UE1,-789.217,-1006.16,10,5
447,UE1,-459.957,-248.777,10,5
448,UE1,-436.379,-1075.35,10,5
449,UE1,-352.256,-387.849,10,5
450,UE1,-894.724,-749.367,10,5
451,UE1,-353.549,-771.536,10,5
452,UE1,-704.751,-951.524,10,5
453,UE1,-298.942,-990.769,10,5
454,UE1,-510.141,-682.676,10,5
455,UE1,-853.669,-810.631,10,5
456,UE1,-484.44,-1037.6,10,5
457,UE1,-552.058,-463.92,10,5
458,UE1,-370.958,-741.479,10,5
459,UE1,-393.024,-328.69,10,5
460,UE1,-810.647,-491.458,10,5
461,UE1,-617.687,-726.127,10,5
462,UE1,-735.958,-184.786,10,5
463,UE1,-648.327,-700.22,10,5
464,UE1,-373.777,-1005.84,10,5
465,UE1,-766.053,-419.367,10,5
466,UE1,-727.797,-438.373,10,5
467,UE1,-628.281,-675.773,10,5
468,UE1,-254.646,-789.853,10,5
469,UE1,-220.857,-878.089,10,5
470,UE1,-855.384,-515.207,10,5
471,UE1,-584.848,-370.745,10,5
472,UE1,-513.072,-219.644,10,5
473,UE1,-578.546,-430.797,10,5
474,UE1,-523.657,-945.703,10,5
475,UE1,-740.946,-579.783,10,5
476,UE1,-407.049,-740.77,10,5
477,UE1,-1134.5,-189.56,10,5
478,UE1,-844.083,240.943,10,5
479,UE1,-465.684,36.3678,10,5
480,UE1,-539.882,448.983,10,5
481,UE1,-759.558,627.273,10,5
482,UE1,-1290,54.6673,10,5
483,UE1,-1336.52,243.548,10,5
484,UE1,-562.896,-117.54,10,5
485,UE1,-1073.96,269.916,10,5
486,UE1,-788.577,-20.7738,10,5
487,UE1,-1023.17,-105.823,10,5
488,UE1,-1101.08,445.514,10,5
489,UE1,-1277.61,252.808,10,5
490,UE1,-961.472,-185.32,10,5
491,UE1,-928.797,136.827,10,5
492,UE1,-917.483,363.969,10,5
493,UE1,-1007.92,-165.735,10,5
494,UE1,-857.258,549.183,10,5
495,UE1,-834.931,436.583,10,5
496,UE1,-1217.02,117.195,10,5
497,UE1,-954.115,240.081,10,5
498,UE1,-518.731,397.842,10,5
499,UE1,-531.92,-195.622,10,5
500,UE1,-1156.06,111.091,10,5
501,UE1,-764.478,417.87,10,5
502,UE1,-1320.32,319.393,10,5
503,UE1,-1072.76,-258.143,10,5
504,UE1,-1033.35,269.316,10,5
505,UE1,-1035.8,218.184,10,5
506,UE1,-1289.03,-143.522,10,5
507,UE1,-531.264,441.983,10,5
508,UE1,-650.224,523.784,10,5
509,UE1,-1013.46,436.651,10,5
510,UE1,-1242.61,246.855,10,5
511,UE1,-907.289,-345.614,10,5
512,UE1,-748.046,108.473,10,5
513,UE1,-777.613,161.399,10,5
514,UE1,-511.939,-137.218,10,5
515,UE1,-578.167,226.542,10,5
516,UE1,-797.119,361.051,10,5
517,UE1,-821.831,-241.727,10,5
518,UE1,-587.894,298.206,10,5
519,UE1,-1176.98,330.127,10,5
520,UE1,-1258.49,-126.269,10,5
521,UE1,-1099.13,59.4725,10,5
522,UE1,-757.254,-240.733,10,5
523,UE1,-449.735,359.142,10,5
524,UE1,-1198.12,194.784,10,5
525,UE1,-1195.2,521.683,10,5
526,UE1,-752.62,66.4296,10,5
527,UE1,-511.79,-126.273,10,5
528,UE1,-720.144,594.782,10,5
529,UE1,-756.917,81.7297,10,5
530,UE1,-679.762,-297.384,10,5
531,UE1,-926.168,144.698,10,5
532,UE1,-790.471,394.63,10,5
533,UE1,-1069.89,-37.1724,10,5
534,UE1,-892.639,51.0811,10,5
535,UE1,-943.981,-144.793,10,5
536,UE1,-706.609,-45.6898,10,5
537,UE1,-1280.36,12.9294,10,5
538,UE1,-510.722,42.8721,10,5
539,UE1,-1105.01,-103.961,10,5
540,UE1,-393.56,173.45,10,5
541,UE1,-1207.04,509.928,10,5
542,UE1,-683.084,296.844,10,5
543,UE1,-806.841,-109.407,10,5
544,UE1,-724.756,539.67,10,5
545,UE1,-922.369,175.004,10,5
546,UE1,-1042.92,-300.117,10,5
547,UE1,-422.384,181.114,10,5
548,UE1,-714.179,504.695,10,5
549,UE1,-604.822,532.553,10,5
550,UE1,-1101.76,-269.873,10,5
551,UE1,-951.762,511.756,10,5
552,UE1,-636.495,523.362,10,5
553,UE1,-863.457,312.193,10,5
554,UE1,-1335.39,282.496,10,5
555,UE1,-1217.47,50.2523,10,5
556,UE1,-595.284,-226.804,10,5
557,UE1,-1261.95,466.052,10,5
558,UE1,-792.457,339.068,10,5
559,UE1,-886.507,446.618,10,5
560,UE1,-547.829,-49.9282,10,5
561,UE1,-1155.15,437.362,10,5
562,UE1,-1197.74,113.038,10,5
563,UE1,-1308.38,141.794,10,5
564,UE1,-491.288,192.088,10,5
565,UE1,-1196.37,-137.463,10,5
566,UE1,-1361.19,86.9514,10,5
567,UE1,-869.693,556.889,10,5
568,UE1,-947.314,-189.589,10,5
569,UE1,-841.849,-57.5211,10,5
570,UE1,-1023.32,403.926,10,5
571,UE1,-1029.96,-15.9571,10,5
572,UE1,-888.659,224.915,10,5
573,UE1,-682.936,393.118,10,5
574,UE1,-818.957,448.272,10,5
575,UE1,-860.526,-30.7016,10,5
576,UE1,-702.138,162.321,10,5
577,UE1,-223.42,495.604,10,5
578,UE1,-560.493,1094.04,10,5
579,UE1,-612.84,427.933,10,5
580,UE1,-305.504,959.316,10,5
581,UE1,-152.387,603.124,10,5
582,UE1,-754.389,573.494,10,5
583,UE1,-532.078,1029.64,10,5
584,UE1,-910.865,880.229,10,5
585,UE1,-714.226,1134.67,10,5
586,UE1,-334.84,520.254,10,5
587,UE1,-192.05,701.236,10,5
588,UE1,-895.35,381.284,10,5
589,UE1,-495.974,474.834,10,5
590,UE1,-872.579,744.785,10,5
591,UE1,-871.107,446.833,10,5
592,UE1,-349.834,497.23,10,5
593,UE1,-726.207,692.72,10,5
594,UE1,-318.948,686.041,10,5
595,UE1,-682.35,724.311,10,5
596,UE1,-506.687,422.465,10,5
597,UE1,-299.63,622.43,10,5
598,UE1,-550.344,590.41,10,5
599,UE1,-656.841,540.772,10,5
600,UE1,-626.381,747.016,10,5
601,UE1,-445.343,460.465,10,5
602,UE1,-1030.15,709.162,10,5
603,UE1,-447.069,918.666,10,5
604,UE1,-512.075,297.786,10,5
605,UE1,-842.856,677.979,10,5
606,UE1,-587.19,992.41,10,5
607,UE1,-425.848,805.484,10,5
608,UE1,-645.842,384.047,10,5
609,UE1,-492.089,1172.39,10,5
610,UE1,-177.619,608.121,10,5
611,UE1,-665.827,352.97,10,5
612,UE1,-728.44,1149.61,10,5
613,UE1,-504.964,896.143,10,5
614,UE1,-490.343,319.76,10,5
615,UE1,-726.229,1049.66,10,5
616,UE1,-463.448,633.05,10,5
617,UE1,-399.16,525.285,10,5
618,UE1,-138.274,569.222,10,5
619,UE1,-983.926,624.189,10,5
620,UE1,-449.095,679.207,10,5
621,UE1,-393.202,772.507,10,5
622,UE1,-621.588,855.611,10,5
623,UE1,-600.033,865.504,10,5
624,UE1,-797.67,495.694,10,5
625,UE1,-677.81,399.502,10,5
626,UE1,-625.43,1100.21,10,5
627,UE1,-738.245,1120.74,10,5
628,UE1,-290.602,937.989,10,5
629,UE1,-831.089,374.835,10,5
630,UE1,-822.668,1211.03,10,5
631,UE1,-585.118,993.159,10,5
632,UE1,-479.53,886.799,10,5
633,UE1,-695.828,709.868,10,5
634,UE1,-426.222,865.975,10,5
635,UE1,-530.539,278.638,10,5
636,UE1,-607.878,1210.58,10,5
637,UE1,-358.817,1068.45,10,5
638,UE1,-489.402,467.873,10,5
639,UE1,-861.727,576.877,10,5
640,UE1,-374.174,594.855,10,5
641,UE1,-396.462,816.375,10,5
642,UE1,-595.15,476.875,10,5
643,UE1,-645.097,320.931,10,5
644,UE1,-460.421,486.635,10,5
645,UE1,-657.406,594.122,10,5
646,UE1,-942.93,1104.39,10,5
647,UE1,-781.492,1072.84,10,5
648,UE1,-124.215,892.315,10,5
649,UE1,-749.346,699.809,10,5
650,UE1,-325.485,892.1,10,5
651,UE1,-373.217,956.911,10,5
652,UE1,-391.095,929.302,10,5
653,UE1,-226.262,465.119,10,5
654,UE1,-761.616,468.377,10,5
655,UE1,-819.741,1067.21,10,5
656,UE1,-493.164,475.222,10,5
657,UE1,-667.978,410.841,10,5
658,UE1,-610.049,438.806,10,5
659,UE1,-854.113,1036.64,10,5
660,UE1,-519.866,663.151,10,5
661,UE1,-657.559,547.491,10,5
662,UE1,-485.34,776.677,10,5
663,UE1,-604.666,665.616,10,5
664,UE1,-322.884,720.117,10,5
665,UE1,-543.352,856.281,10,5
666,UE1,-767.244,575.136,10,5
667,UE1,-866.033,1102.23,10,5
668,UE1,-832.535,713.327,10,5
669,UE1,-727.107,591.415,10,5
670,UE1,-591.938,749.027,10,5
671,UE1,-555.696,407.647,10,5
672,UE1,-861.483,988.276,10,5
673,UE1,-432.375,864.858,10,5
674,UE1,-285.213,624.318,10,5
675,UE1,-746.915,363.083,10,5
676,UE1,-899.921,719.709,10,5
677,UE1,769.375,896.043,10,5
678,UE1,-40.425,993.369,10,5
679,UE1,779.182,942.641,10,5
680,UE1,51.7902,1102.5,10,5
681,UE1,425.431,889.218,10,5
682,UE1,407.058,417.894,10,5
683,UE1,696.034,941.153,10,5
684,UE1,181.684,1145.46,10,5
685,UE1,657.268,899.35,10,5
686,UE1,-110.782,669.385,10,5
687,UE1,514.732,676.997,10,5
688,UE1,274.28,547.989,10,5
689,UE1,91.7388,517.154,10,5
690,UE1,474.914,796.67,10,5
691,UE1,19.5394,1020.65,10,5
692,UE1,7.15068,862.104,10,5
693,UE1,302.156,1341.83,10,5
694,UE1,569.628,997.533,10,5
695,UE1,336.712,513.365,10,5
696,UE1,625.54,513.097,10,5
697,UE1,-59.5837,836.676,10,5
698,UE1,35.6841,646.439,10,5
699,UE1,557.305,1286.16,10,5
700,UE1,556.643,822.347,10,5
701,UE1,141.879,1167.14,10,5
702,UE1,480.714,1039.34,10,5
703,UE1,461.041,409.969,10,5
704,UE1,86.1234,640.677,10,5
705,UE1,2.79099,702.905,10,5
706,UE1,-149.825,757.421,10,5
707,UE1,419.152,889.113,10,5
708,UE1,80.2075,974.285,10,5
709,UE1,693.487,797.131,10,5
710,UE1,16.5434,580.102,10,5
711,UE1,682.235,842.728,10,5
712,UE1,-10.6097,797.804,10,5
713,UE1,474.665,969.058,10,5
714,UE1,593.571,934.143,10,5
715,UE1,407.027,880.053,10,5
